NIP,NAME,DATE OF BIRTH,GENDER,ADDRESS,ID NUMBER,PHONE
796366503995,Wahyu Firmansyah,2020-09-23,M,"Jl. Rasuna Said No. 11, Padang Pariaman, MN 50241",073IH8JI10LD,+261677053
668351966182,Nisa Ferdian,2018-12-23,M,"Jl. Jend. Sudirman No. 10, Halmahera Timur, AZ 60517",0661ERL3AM61T,+06449239
596108561172,Rudi Wicaksono,2016-11-30,X,"Jl. Gatot Soebroto No. 04, Surabaya, VA 20866",8L9E5EL5B14CD5,+87920721699
860087990277,Yahya Febriansyah,2022-12-10,M,"Apt. 345 Jl. Gajahmada No. 67, Mamuju Utara, IL 17938",LO4273IW23851,+375686984
402533077752,Kiki Zaini,2025-06-25,X,"Jl. Kartini No. 57, Nias Barat, ID 04228",O2C2N17NIL5HV,+686032503
734653532917,Iman Nasrudin,2023-04-15,M,"Jl. Ahmad Yani No. 74, Kendari, AK 91303",79GSQ0Z277291,+474568172837
714878168468,Budi Setiawan,2017-03-10,F,"Apt. 121 Jl. Rasuna Said No. 78, Sukoharjo, FL 87907",XS0J088A78B8,+799021304852
565007058309,Ruslan Ardianto,2021-06-13,F,"Jl. Diponegoro No. 76, Supiori, KY 76949",HMBXC218249E,+55831216
635117840787,Prily Nainggolan,2019-05-14,M,"Suite 289 Jl. Kartini No. 47, Medan, GA 61802",E921L2S2382LODUR0AKU,+302710371
755463384001,Citra Madjid,2022-01-12,X,"Jl. Gajahmada No. 10, Halmahera Barat, OH 23632",2H14R200QHPEHU,+17893592
858199350710,Dea Hartanto,2020-01-12,F,"Apt. 317 Jl. Diponegoro No. 67, Purbalingga, CA 25119",6M899SWQ8CU1IB91,+739561814
388049314964,Toni Unggul,2018-12-18,F,"Suite 990 Jl. Kartini No. 93, Kapuas, AK 36920",O99392X5U8C7X,+28685188866
776185670704,Edwin Budiono,2019-08-15,M,"Jl. Ahmad Yani No. 63, Kotawaringin Timur, NV 09451",A9IS71U007FBZT,+585715262
316552563900,Slamet Lazuardi,2021-10-12,X,"Jl. Gajahmada No. 99, Kendari, NH 03722",4026O1TMPZ147O0FCX,+491961179
467445690556,Setya Erlangga,2018-01-13,F,"Jl. Diponegoro No. 36, Aceh Tengah, NJ 49192",X5299WF79A152P,+8035212927
163676256601,Arya Virgiawan,2023-08-02,X,"Suite 804 Jl. Gajahmada No. 65, Dogiyai, MA 32836",Q5B418CN47187,+81925696
651088182609,Toni Budiono,2019-09-24,X,"Apt. 830 Jl. Jend. Sudirman No. 85, Baubau, CO 79143",MX63PY7Z85J0YNF5,+139621131
014504898510,Tomi Jayadinata,2018-08-19,M,"Apt. 479 Jl. Gatot Soebroto No. 42, Pangkajene Dan Kepulauan, HI 73432",UC1HDR903CQL,+56852538
187577887254,Iwan Sanjaya,2022-05-10,F,"Jl. Diponegoro No. 36, Jayapura, WY 93805",HXP2E4J2Z7J5,+222060688
879533318339,Diah Haryanto,2017-08-27,F,"Apt. 439 Jl. Ahmad Yani No. 50, Jepara, UT 23285",AZ31884MA14HLU,+46108606
702258162365,Raditya Oktara,2026-09-01,F,"Jl. Hayamwuruk No. 11, Tolikara, IA 64359",67P0729TB1Q2,+30230865
347146785252,Sandi Nugraha,2019-08-25,X,"Apt. 969 Jl. Ahmad Yani No. 06, Kediri, NM 75953",7I29PAVWUMQK,+5319046370
691541009989,Sandi Suryatama,2023-01-17,M,"Suite 861 Jl. Juanda No. 54, Landak, KY 49053",BH8BT6AKV92F3,+380464300
480784802388,Yudhistira Darmawan,2026-06-20,X,"Apt. 430 Jl. Diponegoro No. 85, Jakarta Utara, WV 75922",50MQ8921FF9EL6,+091025141
197152233265,Udin Indragiri,2025-07-01,M,"Jl. Diponegoro No. 61, Makassar, TX 71385",UOOEEHJFV993,+089258373133
309363795694,Arya Suhendra,2024-02-07,M,"Jl. Gajahmada No. 03, Sumba Barat Daya, AL 40125",AC47CC451027RF1H9,+61931917
269653688948,Dion Basri,2025-06-03,X,"Jl. Rasuna Said No. 38, Cilacap, KY 33418",2SU2TI64Z8Y8D2O2V5,+92113290
001583513961,Tomi Ferdian,2020-09-12,F,"Suite 123 Jl. Juanda No. 62, Merangin, TN 74152",7TC095OFVMQO111PM06,+799860318
795762420098,Rahmat Hermawan,2019-07-07,M,"Apt. 030 Jl. Hayamwuruk No. 20, Pesisir Barat, MS 31984",7MT08TYNUSDO0I,+59751529
818787311623,Unang Triwijaya,2023-09-16,F,"Suite 727 Jl. Ahmad Yani No. 37, Ambon, UT 76704",LO1C749GRE2A,+055541829
805886943326,Bayu Dwiantoro,2020-09-27,X,"Apt. 482 Jl. Rasuna Said No. 12, Bandung, AK 61938",1WRPP4981J6N,+215833666
924261924800,Tri Gunajaya,2022-11-26,M,"Apt. 816 Jl. MH. Thamrin No. 42, Cimahi, KY 68383",988XJ0999V2QQJ7V,+554803262959
559069109814,Iwan Armansyah,2016-05-19,X,"Jl. Kartini No. 28, Palembang, WI 74109",96VK889KI4ACP2CR5,+93480658611
600031343835,Umar Unggul,2017-02-23,M,"Jl. MH. Thamrin No. 14, Lamandau, IA 33074",91U25MT75906FVE,+56258091
033427718597,Iwan Ferdian,2017-02-18,F,"Jl. Rasuna Said No. 79, Melawi, PA 15148",GJX14D5V8OM82X,+80932358
540373294638,Yoga Zaini,2022-02-18,F,"Jl. Diponegoro No. 85, Majene, MS 89773",YYKZXAIN04SDM47W,+21977890
013725252238,Ferdian Indrajaya,2018-01-27,M,"Jl. Gajahmada No. 32, Bojonegoro, MO 70614",9PI5Q22D5751IRGO0,+6378416962
201515393027,Indra Thamrin,2016-09-25,F,"Jl. Juanda No. 39, Mesuji, NJ 72311",1WDS7MTK6BM8V,+595968756
500195401814,Bambang Sugianto,2016-08-21,X,"Jl. Diponegoro No. 08, Klaten, CO 03979",489452C1HOP2U020M5,+018701559
656092924772,Desi Suryatama,2026-09-08,X,"Jl. MH. Thamrin No. 55, Nganjuk, RI 86929",14WUCH1H9TWM,+225152573
270024419269,Effendi Winardi,2019-01-02,F,"Jl. Kartini No. 55, Bolaang Mongondow Timur, PA 41545",5PV94B6SU96U59218,+783985933564
532619385685,Setya Triwijaya,2026-01-20,M,"Suite 790 Jl. Rasuna Said No. 44, Luwu Timur, WY 86097",G7CAMN79OY8J,+99942919
830032566709,Iman Firmansyah,2021-06-27,F,"Apt. 993 Jl. Jend. Sudirman No. 93, Labuhan Batu, SC 22769",X6R163ZO5M409O8,+55262062
717176829957,Anita Rusli,2018-06-06,X,"Apt. 584 Jl. Gatot Soebroto No. 13, Musi Rawas, NC 46745",G0KR56T6AKL5C4,+69198862
881824740294,Sandi Jayadi,2020-04-21,M,"Apt. 704 Jl. Kartini No. 55, Aceh Tengah, OR 41992",YZ6P5R02R0097,+85263897524
867132014883,Derry Pradipta,2018-05-05,X,"Jl. Diponegoro No. 70, Banyumas, IL 73446",03J7XW582V25L9Y66,+93664701365
933664804344,Jaya Ciputra,2025-06-03,X,"Jl. MH. Thamrin No. 20, Lahat, VT 75668",3Z74Y8G2H11H,+78718822
659592950322,Endang Novianto,2017-09-11,X,"Jl. Gatot Soebroto No. 93, Aceh Tengah, WA 07021",O164287X10SE9R7,+282516189386
284046129698,Qomar Pahlevi,2025-09-04,M,"Jl. Juanda No. 18, Paser, FL 00172",90P0BH346GC9,+61847339
591273092188,Jaya Gautama,2022-04-11,X,"Jl. Jend. Sudirman No. 75, Lhokseumawe, NJ 08184",335KH938FNL742G,+184949268012
360235365907,Devi Januar,2017-03-08,F,"Jl. MH. Thamrin No. 89, Tana Tidung, ID 38610",UDI87RSUZJ3KS6K,+1091447099
061788471556,Wahyu Bintara,2019-09-23,F,"Suite 472 Jl. Hayamwuruk No. 34, Mamuju, NY 30749",121I6152Q5G7O,+11215086
079214691653,Aan Kurniawan,2023-12-31,X,"Jl. Hayamwuruk No. 87, Purbalingga, NM 28769",29IUZP675Y3V,+41751502607
699232686623,Dimas Riansyah,2020-08-21,X,"Jl. MH. Thamrin No. 96, Kupang, TX 88266",7AIF0BD32B51,+63708436
572373484293,Rahmat Junaedi,2016-02-23,F,"Apt. 667 Jl. MH. Thamrin No. 72, Boalemo, NJ 40124",32FM3MCI08M5,+854932755687
539970680890,Oki Alamsyah,2019-03-12,F,"Jl. Jend. Sudirman No. 17, Sanggau, MI 16251",AN532FM2E47Y8,+10575391
214105110172,Dimas Satria,2023-09-08,M,"Suite 810 Jl. Rasuna Said No. 96, Sidoarjo, GA 76203",9HMVR5GC0358F,+6315211616
440459722321,Jaka Firmansyah,2022-10-05,M,"Jl. Kartini No. 83, Kulon Progo, AK 39206",5N6442L0H4398AWF,+289812914
011070840826,Sandi Hartono,2018-12-22,M,"Jl. Hayamwuruk No. 53, Pati, NE 83942",WUGJQ0J692L8,+154899331
685323682192,Valentinus Ardianto,2023-10-18,X,"Apt. 999 Jl. Juanda No. 27, Banyuwangi, MO 38415",YY0BRU6BND7S25O,+389505233140
583282287929,Lia Listyawan,2019-03-30,F,"Jl. Hayamwuruk No. 98, Banyumas, NE 08108",8C9ZUX15O7391E,+57370272785
237580911400,Citra Riyadi,2022-09-19,M,"Suite 801 Jl. Jend. Sudirman No. 32, Batang, NH 20818",J91I3FE18B0O,+47164444
328381963246,Diah Nainggolan,2019-11-11,M,"Suite 312 Jl. Jend. Sudirman No. 53, Kepahiang, WV 73179",990C0980FI3NXI8,+668385366
